"","X","code","date","cumulative_cases","cumulative_deaths","daily_cases","daily_deaths","state_name","pop_density","pop_count","region_census_sub_revised","region_code"
"243",243,"AL","2020-05-02",NA,NA,317,0,"Alabama",95,4858979,"Southern Appalachia",1
"244",244,"AL","2020-05-03",NA,NA,274,2,"Alabama",95,4858979,"Southern Appalachia",1
"245",245,"AL","2020-05-04",NA,NA,225,8,"Alabama",95,4858979,"Southern Appalachia",1
"246",246,"AL","2020-05-05",NA,NA,326,17,"Alabama",95,4858979,"Southern Appalachia",1
"247",247,"AL","2020-05-06",NA,NA,255,27,"Alabama",95,4858979,"Southern Appalachia",1
"248",248,"AL","2020-05-07",NA,NA,355,27,"Alabama",95,4858979,"Southern Appalachia",1
"249",249,"AL","2020-05-08",NA,NA,338,13,"Alabama",95,4858979,"Southern Appalachia",1
"250",250,"AL","2020-05-09",NA,NA,284,7,"Alabama",95,4858979,"Southern Appalachia",1
"251",251,"AL","2020-05-10",NA,NA,221,3,"Alabama",95,4858979,"Southern Appalachia",1
"252",252,"AL","2020-05-11",NA,NA,275,10,"Alabama",95,4858979,"Southern Appalachia",1
"253",253,"AL","2020-05-12",NA,NA,304,37,"Alabama",95,4858979,"Southern Appalachia",1
"254",254,"AL","2020-05-13",NA,NA,231,10,"Alabama",95,4858979,"Southern Appalachia",1
"255",255,"AL","2020-05-14",NA,NA,395,22,"Alabama",95,4858979,"Southern Appalachia",1
"256",256,"AL","2020-05-15",NA,NA,293,12,"Alabama",95,4858979,"Southern Appalachia",1
"257",257,"AL","2020-05-16",NA,NA,284,0,"Alabama",95,4858979,"Southern Appalachia",1
"258",258,"AL","2020-05-17",NA,NA,97,3,"Alabama",95,4858979,"Southern Appalachia",1
"259",259,"AL","2020-05-18",NA,NA,310,1,"Alabama",95,4858979,"Southern Appalachia",1
"260",260,"AL","2020-05-19",NA,NA,296,14,"Alabama",95,4858979,"Southern Appalachia",1
"261",261,"AL","2020-05-20",NA,NA,675,22,"Alabama",95,4858979,"Southern Appalachia",1
"262",262,"AL","2020-05-21",NA,NA,361,7,"Alabama",95,4858979,"Southern Appalachia",1
"263",263,"AL","2020-05-22",NA,NA,260,12,"Alabama",95,4858979,"Southern Appalachia",1
"264",264,"AL","2020-05-23",NA,NA,482,10,"Alabama",95,4858979,"Southern Appalachia",1
"265",265,"AL","2020-05-24",NA,NA,355,7,"Alabama",95,4858979,"Southern Appalachia",1
"266",266,"AL","2020-05-25",NA,NA,687,8,"Alabama",95,4858979,"Southern Appalachia",1
"267",267,"AL","2020-05-26",NA,NA,454,14,"Alabama",95,4858979,"Southern Appalachia",1
